"sh688308"    "欧科亿"
"sh688056"    "莱伯泰科"
"sh688699"    "明微电子"
"sh605258"    "协和电子"
"sh603356"    "华菱精工"
"sh603170"    "宝立食品"
"sh600137"    "浪莎股份"
"sh688311"    "盟升电子"
"sh600980"    "北矿科技"
"sh603331"    "百达精工"
"sh605189"    "富春染织"
"sh688569"    "铁科轨道"
"sh603261"    "立航科技"
"sh600551"    "时代出版"
"sh688165"    "埃夫特"
"sh605228"    "神通科技"
"sh688700"    "东威科技"
"sh603103"    "横店影视"
"sh688327"    "云从科技"
"sh603989"    "艾华集团"
"sh688246"    "嘉和美康"
"sh603822"    "嘉澳环保"
"sh603908"    "牧高笛"
"sh603358"    "华达科技"
"sh603320"    "迪贝电气"
"sh600719"    "ST热电"
"sh605179"    "一鸣食品"
"sh600714"    "金瑞矿业"
"sh603101"    "汇嘉时代"
"sh603819"    "神力股份"
"sh688139"    "海尔生物"
"sh688358"    "祥生医疗"
"sh603220"    "中贝通信"
"sh688328"    "深科达"
"sh688090"    "瑞松科技"
"sh688520"    "神州细胞"
"sh688114"    "华大智造"
"sh688616"    "西力科技"
"sh605166"    "聚合顺"
"sh603679"    "华体科技"
"sh603788"    "宁波高发"
"sh688355"    "明志科技"
"sh600650"    "锦江在线"
"sh688101"    "三达膜"
"sh601858"    "中国科传"
"sh688076"    "诺泰生物"
"sh603789"    "星光农机"
"sh603958"    "哈森股份"
"sh603801"    "志邦家居"
"sh603808"    "歌力思"
"sh688176"    "亚虹医药"
"sh688331"    "荣昌生物"
"sh688209"    "英集芯"
"sh688053"    "思科瑞"
"sh688290"    "景业智能"
"sh600983"    "惠而浦"
"sh688378"    "奥来德"
"sh688345"    "博力威"
"sh605259"    "绿田机械"
"sh688016"    "心脉医疗"
"sh688601"    "力芯微"
"sh688551"    "科威尔"
"sh688118"    "普元信息"
"sh688670"    "金迪克"
"sh600007"    "中国国贸"
"sh688120"    "华海清科"
"sh603278"    "大业股份"
"sh688065"    "凯赛生物"
"sh688696"    "极米科技"
"sh688011"    "新光光电"
"sh603877"    "太平鸟"
"sh603297"    "永新光学"
"sh688267"    "中触媒"
"sh603213"    "镇洋发展"
"sh688359"    "三孚新科"
"sh688519"    "南亚新材"
"sh603488"    "展鹏科技"
"sh688207"    "格灵深瞳"
"sh600345"    "长江通信"
"sh603444"    "吉比特"
"sh603713"    "密尔克卫"
"sh603700"    "宁水集团"
"sh603216"    "梦天家居"
"sh603928"    "兴业股份"
"sh600241"    "ST时万"
"sh688292"    "浩瀚深度"
"sh603301"    "振德医疗"
"sh603221"    "爱丽家居"
"sh600671"    "ST目药"
"sh688161"    "威高骨科"
"sh603255"    "鼎际得"
"sh603948"    "建业股份"
"sh688038"    "中科通达"
"sh688195"    "腾景科技"
"sh603698"    "航天工程"
"sh603337"    "杰克股份"
"sh605287"    "德才股份"
"sh688128"    "中国电研"
"sh688072"    "拓荆科技"
